locus_tag,organism,gene_symbol,source_annotation,source_category,in_current_refseq,protein_id,refseq_product,refseq_still_hypothetical,best_hit_method,best_hit_database,best_hit_id,best_hit_description,best_hit_evalue,best_hit_query_coverage,best_hit_query_range,n_evidence_rows,confidence_call,evidence_level,reannotated_category
alr1792,anabaena,-,hypothetical protein,Hypothetical,True,WP_010995960.1,GDSL-type esterase/lipase family protein,False,HMMER hmmscan,Pfam-A,PF13472.13,GDSL-like Lipase/Acylhydrolase family,5.6e-25,0.795,26-215,4,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1794,anabaena,-,unknown protein,Hypothetical,True,WP_010995962.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1796,anabaena,-,hypothetical protein,Hypothetical,True,WP_010995964.1,YraN family protein,False,HMMER hmmscan,Pfam-A,PF02021.24,Uncharacterised protein family UPF0102,5.3e-24,0.7,10-107,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1805,anabaena,-,hypothetical protein,Hypothetical,True,WP_044521075.1,squalene/phytoene synthase family protein,False,HMMER hmmscan,Pfam-A,PF00494.25,Squalene/phytoene synthase,1.2e-22,0.6957,11-202,4,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1808,anabaena,-,hypothetical protein,Hypothetical,True,WP_010995976.1,stage II sporulation protein M,False,HMMER hmmscan,Pfam-A,PF01944.23,Stage II sporulation protein M,2.4e-42,0.5566,112-288,9,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1810,anabaena,-,unknown protein,Hypothetical,True,WP_010995978.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1815,anabaena,-,unknown protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1819,anabaena,-,hypothetical protein,Hypothetical,True,WP_010995987.1,fasciclin domain-containing protein,False,HMMER hmmscan,Pfam-A,PF02469.28,Fasciclin domain,7.1e-38,0.2222,273-396,4,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1821,anabaena,-,hypothetical protein,Hypothetical,True,WP_010995989.1,Uma2 family endonuclease,False,HMMER hmmscan,Pfam-A,PF05685.19,Putative restriction endonuclease,2.1e-42,0.8497,12-175,3,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1822,anabaena,-,hypothetical protein,Hypothetical,True,WP_231865519.1,DUF2809 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF10990.14,Protein of unknown function (DUF2809),5.4e-25,0.6412,36-119,7,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1845,anabaena,-,hypothetical protein,Hypothetical,True,WP_044522875.1,tRNA (guanosine(46)-N7)-methyltransferase TrmB,False,HMMER hmmscan,Pfam-A,PF02390.24,Putative methyltransferase,6.9e-51,0.8113,35-206,11,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1850,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996018.1,phosphoketolase family protein,False,HMMER hmmscan,Pfam-A,PF03894.21,D-xylulose 5-phosphate/D-fructose 6-phosphate phosphoketolase,2.1e-13,0.1995,416-562,5,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1851,anabaena,-,unknown protein,Hypothetical,True,WP_044521098.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF25764.2,KIF21A-like domain,0.00028,0.3941,5-97,16,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1852,anabaena,-,unknown protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1855,anabaena,-,unknown protein,Hypothetical,True,WP_044521101.1,ABC-three component system protein,False,HMMER hmmscan,Pfam-A,PF10088.16,Uncharacterised protein conserved in bacteria (DUF2326),2.2e-40,0.2333,448-583,10,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1856,anabaena,-,unknown protein,Hypothetical,True,WP_010996022.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1860,anabaena,-,unknown protein,Hypothetical,True,WP_010996024.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF01402.28,"Ribbon-helix-helix protein, copG family",0.00068,0.2605,12-42,5,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1868,anabaena,-,hypothetical protein,Hypothetical,True,WP_044522883.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1870,anabaena,-,unknown protein,Hypothetical,True,WP_010996034.1,VOC family protein,False,HMMER hmmscan,Pfam-A,PF00903.32,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,0.00087,0.4327,196-346,4,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1874,anabaena,-,unknown protein,Hypothetical,True,WP_010996038.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF03825.23,Nucleoside H+ symporter,0.0025,0.3246,5-66,3,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1877,anabaena,-,hypothetical protein,Hypothetical,True,WP_044521112.1,lysozyme inhibitor LprI family protein,False,HMMER hmmscan,Pfam-A,PF07007.18,Lysozyme inhibitor LprI,1.8e-28,0.7,32-122,5,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1892,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996056.1,DUF433 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF04255.21,Protein of unknown function (DUF433),8.5e-19,0.5185,36-91,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1903,anabaena,-,unknown protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1905,anabaena,-,unknown protein,Hypothetical,True,WP_231865520.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1906,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996070.1,filamentous hemagglutinin N-terminal domain-containing protein,False,HMMER hmmscan,Pfam-A,PF05860.20,TPS secretion domain,1.9e-65,0.313,42-293,3,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1909,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996073.1,bifunctional sterol desaturase/short chain dehydrogenase,False,HMMER hmmscan,Pfam-A,PF04116.20,Fatty acid hydroxylase,5e-08,0.3566,37-184,17,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1910,anabaena,-,unknown protein,Hypothetical,True,WP_010996074.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1912,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996076.1,dihydroorotate dehydrogenase-like protein,False,HMMER hmmscan,Pfam-A,PF01180.28,Dihydroorotate dehydrogenase,5.4e-17,0.6006,85-290,8,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1917,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996081.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF08139.18,Prokaryotic membrane lipoprotein lipid attachment site,0.11,0.1185,3-18,1,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1918,anabaena,-,unknown protein,Hypothetical,True,WP_010996082.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF26285.1,SASH1 homeodomain-like domain,0.039,0.1245,195-226,11,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1920,anabaena,-,unknown protein,Hypothetical,True,WP_010996084.1,class I SAM-dependent methyltransferase,False,HMMER hmmscan,Pfam-A,PF08241.19,Methyltransferase domain,2.2e-10,0.4065,88-187,9,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1923,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996087.1,Uma2 family endonuclease,False,HMMER hmmscan,Pfam-A,PF05685.19,Putative restriction endonuclease,2.2e-45,0.855,25-195,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1925,anabaena,-,unknown protein,Hypothetical,True,WP_010996089.1,peptidylprolyl isomerase,False,HMMER hmmscan,Pfam-A,PF00639.28,PPIC-type PPIASE domain,1.7e-07,0.3264,131-209,13,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1926,anabaena,-,unknown protein,Hypothetical,True,WP_010996090.1,helix-turn-helix domain-containing protein,False,HMMER hmmscan,Pfam-A,PF13565.13,Homeodomain-like domain,4.7e-10,0.398,75-152,20,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1929,anabaena,-,hypothetical protein,Hypothetical,True,WP_044521130.1,peptidylprolyl isomerase,False,HMMER hmmscan,Pfam-A,PF00639.28,PPIC-type PPIASE domain,9.6e-10,0.2984,131-207,8,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1942,anabaena,-,hypothetical protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1954,anabaena,-,hypothetical protein,Hypothetical,True,WP_044521138.1,KH domain-containing protein,False,HMMER hmmscan,Pfam-A,PF13083.14,"KhpA/KhpB, KH domain",5.3e-16,0.5069,28-100,3,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1957,anabaena,-,unknown protein,Hypothetical,True,WP_044521142.1,ChuX/HutX family heme-like substrate-binding protein,False,HMMER hmmscan,Pfam-A,PF06228.21,Haem utilisation ChuX/HutX,9.1e-11,0.8657,4-119,3,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1959,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996123.1,DUF6816 family protein,False,HMMER hmmscan,Pfam-A,PF20670.4,Domain of unknown function (DUF6816),4.8e-55,0.8084,48-258,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1960,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996124.1,YbjN domain-containing protein,False,HMMER hmmscan,Pfam-A,PF10722.15,Putative bacterial sensory transduction regulator,1.6e-20,0.7987,27-153,4,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1961,anabaena,-,hypothetical protein,Hypothetical,True,WP_044521146.1,lipoate--protein ligase family protein,False,HMMER hmmscan,Pfam-A,PF21948.2,Lipoyl protein ligase A/B catalytic domain,9.8e-25,0.7155,19-189,3,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1977,anabaena,-,unknown protein,Hypothetical,True,WP_010996139.1,ImmA/IrrE family metallo-endopeptidase,False,HMMER hmmscan,Pfam-A,PF06114.20,IrrE N-terminal-like domain,6.4e-16,0.5193,79-172,4,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1979,anabaena,-,unknown protein,Hypothetical,True,WP_010996141.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1997,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996158.1,Na+-translocating NADH-quinone reductase subunit B,False,HMMER hmmscan,Pfam-A,PF03116.21,"NQR2, RnfD, RnfE family",3.9e-13,0.3633,152-260,3,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1998,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996159.1,DUF2330 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF10092.15,Uncharacterized protein conserved in bacteria (DUF2330),3.2e-73,0.7736,22-373,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr1999,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996160.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF00452.25,"Apoptosis regulator proteins, Bcl-2 family",0.39,0.2037,55-98,3,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2014,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996175.1,DUF3531 family protein,False,HMMER hmmscan,Pfam-A,PF12049.14,Protein of unknown function (DUF3531),2.3e-68,0.94,1-141,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2015,anabaena,-,unknown protein,Hypothetical,True,WP_010996176.1,NUDIX hydrolase,False,HMMER hmmscan,Pfam-A,PF00293.35,NUDIX domain,2e-10,0.9231,9-140,1,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2018,anabaena,-,hypothetical protein,Hypothetical,True,WP_044521181.1,PadR family transcriptional regulator,False,HMMER hmmscan,Pfam-A,PF10400.16,Virulence activator alpha C-term,1.7e-16,0.4637,93-175,6,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2019,anabaena,-,unknown protein,Hypothetical,True,WP_010996180.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2042,anabaena,-,unknown protein,Hypothetical,True,WP_231865525.1,vWA domain-containing protein,False,HMMER hmmscan,Pfam-A,PF13519.13,von Willebrand factor type A domain,8.4e-15,0.2014,12-127,16,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2043,anabaena,-,unknown protein,Hypothetical,True,WP_010996204.1,tubulin-like doman-containing protein,False,HMMER hmmscan,Pfam-A,PF13809.13,Tubulin like,7.3e-61,0.3505,12-330,26,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2044,anabaena,-,unknown protein,Hypothetical,True,WP_010996205.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF20990.3,Predicted membrane protein (DUF2207) C-terminal domain,0.061,0.201,446-649,12,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2055,anabaena,-,unknown protein,Hypothetical,True,WP_010996216.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2060,anabaena,-,hypothetical protein,Hypothetical,True,WP_044522911.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2064,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996225.1,carotenoid isomerase,False,HMMER hmmscan,Pfam-A,PF01593.31,Flavin containing amine oxidoreductase,6.1e-22,0.9466,22-500,26,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2071,anabaena,-,unknown protein,Hypothetical,True,WP_010996229.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF27935.1,"CCDC61, coiled-coil domain",0.0067,0.5696,62-151,59,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2074,anabaena,-,hypothetical protein,Hypothetical,True,WP_190449817.1,VOC family protein,False,HMMER hmmscan,Pfam-A,PF00903.32,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,2.1e-12,0.916,8-116,8,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2075,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996233.1,recombinase family protein,False,HMMER hmmscan,Pfam-A,PF07508.20,Recombinase,3.8e-11,0.1907,152-233,14,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2076,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996234.1,ArnT family glycosyltransferase,False,HMMER hmmscan,Pfam-A,PF13231.13,Dolichyl-phosphate-mannose-protein mannosyltransferase,3.5e-17,0.2876,84-238,7,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2081,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996239.1,Rrf2 family transcriptional regulator,False,HMMER hmmscan,Pfam-A,PF02082.27,Iron-dependent Transcriptional regulator,2.5e-38,0.8639,3-129,5,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2090,anabaena,-,unknown protein,Hypothetical,True,WP_010996248.1,DUF1565 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF07602.18,Protein of unknown function (DUF1565),1.9e-44,0.4435,11-277,13,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2093,anabaena,-,unknown protein,Hypothetical,True,WP_010996251.1,DUF6671 family protein,False,HMMER hmmscan,Pfam-A,PF20376.5,Domain of unknown function (DUF6671),3.4e-69,0.77,67-287,13,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2106,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996264.1,winged helix-turn-helix transcriptional regulator,False,HMMER hmmscan,Pfam-A,PF01638.24,HxlR-like helix-turn-helix,6.3e-38,0.8,21-108,6,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2111,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996269.1,potassium channel family protein,False,HMMER hmmscan,Pfam-A,PF02254.25,TrkA-N domain,7.3e-25,0.5111,3-117,27,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2112,anabaena,-,unknown protein,Hypothetical,True,WP_010996270.1,DUF3124 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF11322.14,Protein of unknown function (DUF3124),1.3e-55,0.6721,53-175,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2114,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996272.1,site-2 protease family protein,False,HMMER hmmscan,Pfam-A,PF27677.1,EGY3 middle domain,5.2e-33,0.1501,133-206,5,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2117,anabaena,-,unknown protein,Hypothetical,True,WP_010996275.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF30787.1,Domain of unknown function (DUF8738),6.9e-19,0.1211,66-138,8,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2122,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996280.1,cysteine hydrolase family protein,False,HMMER hmmscan,Pfam-A,PF00857.27,Isochorismatase domain,5.6e-31,0.9257,6-192,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2125,anabaena,-,unknown protein,Hypothetical,True,WP_231865528.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2130,anabaena,-,unknown protein,Hypothetical,True,WP_010996288.1,alr0857 family protein,False,HMMER hmmscan,Pfam-A,PF28246.1,Alr0857-like,3.5e-40,0.9672,1-118,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2131,anabaena,-,unknown protein,Hypothetical,True,WP_010996289.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF19751.5,Family of unknown function (DUF6238),27.0,0.0741,34-69,2,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2132,anabaena,-,unknown protein,Hypothetical,True,WP_010996290.1,ARPP-2 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF22549.2,ARPP-2,2e-117,0.7194,11-292,3,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2136,anabaena,-,hypothetical protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2139,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996297.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF03129.26,Anticodon binding domain,0.1,0.45,19-63,1,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2140,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996298.1,DsbA family protein,False,HMMER hmmscan,Pfam-A,PF13462.13,Thioredoxin,1.5e-12,0.8811,18-180,3,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2141,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996299.1,CPBP family intramembrane glutamic endopeptidase,False,HMMER hmmscan,Pfam-A,PF02517.22,Type II CAAX prenyl endopeptidase Rce1-like,1.8e-11,0.2997,164-261,3,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2143,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996301.1,CPBP family intramembrane glutamic endopeptidase,False,HMMER hmmscan,Pfam-A,PF02517.22,Type II CAAX prenyl endopeptidase Rce1-like,1.7e-10,0.4297,138-250,2,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2144,anabaena,-,unknown protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2173,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996331.1,DUF5615 family PIN-like protein,False,HMMER hmmscan,Pfam-A,PF18480.8,Domain of unknown function (DUF5615),8.4e-22,0.9231,1-108,4,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2187,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996345.1,sucrase ferredoxin,False,HMMER hmmscan,Pfam-A,PF06999.18,Sucrase/ferredoxin-like,1.7e-31,0.6202,25-233,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2191,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996349.1,polyphosphate kinase 2,False,HMMER hmmscan,Pfam-A,PF03976.21,Polyphosphate kinase 2 (PPK2),7.7e-106,0.7344,50-273,3,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2201,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996359.1,TlpA family protein disulfide reductase,False,HMMER hmmscan,Pfam-A,PF00085.27,Thioredoxin,2.7e-12,0.2924,65-114,16,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2202,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996360.1,TlpA family protein disulfide reductase,False,HMMER hmmscan,Pfam-A,PF00085.27,Thioredoxin,1.6e-12,0.2874,67-116,14,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2203,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996361.1,cytochrome c biogenesis CcdA family protein,False,HMMER hmmscan,Pfam-A,PF02683.23,Cytochrome C biogenesis protein transmembrane domain,2.8e-10,0.5972,74-242,6,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2207,anabaena,-,hypothetical protein,Hypothetical,True,WP_126987094.1,TVP38/TMEM64 family protein,False,HMMER hmmscan,Pfam-A,PF09335.17,VTT domain,3.1e-30,0.4521,79-196,5,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2214,anabaena,-,unknown protein,Hypothetical,True,WP_010996372.1,ferric iron reductase,False,HMMER hmmscan,Pfam-A,PF06276.18,Ferric iron reductase FhuF-like transporter,1e-22,0.5445,77-235,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2231,anabaena,-,hypothetical protein,Hypothetical,True,WP_044521288.1,iron uptake porin,False,HMMER hmmscan,Pfam-A,PF04966.19,"Carbohydrate-selective porin, OprB family",6.8e-81,0.7711,126-546,8,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2233,anabaena,-,unknown protein,Hypothetical,True,WP_010996391.1,PEP-CTERM sorting domain-containing protein,False,HMMER hmmscan,Pfam-A,PF00622.37,SPRY domain,0.17,0.3657,40-103,1,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2242,anabaena,-,unknown protein,Hypothetical,True,WP_010996400.1,NACHT domain-containing protein,False,HMMER hmmscan,Pfam-A,PF22727.2,NACHT C-terminal Helical domain 2,4.6e-29,0.1229,674-769,42,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2246,anabaena,-,unknown protein,Hypothetical,True,WP_231865537.1,gas vesicle protein,False,HMMER hmmscan,Pfam-A,PF11443.14,Domain of unknown function (DUF2828),0.011,0.5682,21-70,5,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2256,anabaena,-,unknown protein,Hypothetical,True,WP_010996413.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF06314.17,Acetoacetate decarboxylase (ADC),0.0063,0.0795,190-222,2,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2257,anabaena,-,unknown protein,Hypothetical,True,WP_044521301.1,NAD(P)-binding protein,False,HMMER hmmscan,Pfam-A,PF13450.13,NAD(P)-binding Rossmann-like domain,3.7e-10,0.104,12-91,10,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2261,anabaena,-,unknown protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2295,anabaena,-,unknown protein,Hypothetical,True,WP_010996452.1,GumC family protein,False,HMMER hmmscan,Pfam-A,PF25988.1,"CyaD, alpha-helical hairpin domain",0.013,0.1075,341-390,57,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2296,anabaena,-,unknown protein,Hypothetical,True,WP_010996453.1,capsular polysaccharide biosynthesis protein,False,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2298,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996455.1,gluconeogenesis factor YvcK family protein,False,HMMER hmmscan,Pfam-A,PF01933.24,2-phospho-L-lactate transferase CofD,4.2e-121,0.6294,139-425,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2300,anabaena,hetY,conserved hypothetical protein that contains an ATP-binding motif,Hypothetical,True,WP_010996457.1,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE,False,HMMER hmmscan,Pfam-A,PF02367.24,Threonylcarbamoyl adenosine biosynthesis protein TsaE,2.3e-34,0.7901,17-144,11,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2305,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996461.1,MOSC domain-containing protein,False,HMMER hmmscan,Pfam-A,PF03476.22,MOSC N-terminal beta barrel domain,3.9e-13,0.3192,1-83,2,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2308,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996464.1,circadian clock protein LdpA,False,HMMER hmmscan,Pfam-A,PF12617.14,Light dependent period A C-terminal domain,2.2e-78,0.5788,173-418,32,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2309,anabaena,-,hypothetical protein,Hypothetical,True,WP_010996465.1,R3H domain-containing nucleic acid-binding protein,False,HMMER hmmscan,Pfam-A,PF25516.2,Phosphotyrosine protein phosphatase,1e-36,0.1364,415-493,44,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2310,anabaena,-,similar to agmatinase unknown protein,Hypothetical,True,WP_010996466.1,agmatinase SpeB,False,HMMER hmmscan,Pfam-A,PF00491.27,Arginase family,8.2e-47,0.8382,31-320,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2312,anabaena,-,unknown protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
alr2313,anabaena,-,unknown protein,Hypothetical,True,WP_044522967.1,COP23 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF14218.12,Circadian oscillating protein COP23,1.8e-30,0.5946,71-224,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
